PdDistrict,Catogory,number
CENTRAL,OTHER OFFENSES,358
PARK,LARCENY/THEFT,537
CENTRAL,FORGERY/COUNTERFEITING,14
BAYVIEW,OTHER OFFENSES,536
SOUTHERN,STOLEN PROPERTY,51
NORTHERN,LIQUOR LAWS,1
TARAVAL,LARCENY/THEFT,631
RICHMOND,FRAUD,47
MISSION,STOLEN PROPERTY,24
TENDERLOIN,BURGLARY,35
NORTHERN,DRUNKENNESS,12
SOUTHERN,ARSON,7
TARAVAL,EXTORTION,4
RICHMOND,"SEX OFFENSES, FORCIBLE",5
BAYVIEW,BURGLARY,161
CENTRAL,VANDALISM,262
BAYVIEW,ROBBERY,74
PARK,"SEX OFFENSES, NON FORCIBLE",1
INGLESIDE,RECOVERED VEHICLE,35
SOUTHERN,ROBBERY,150
BAYVIEW,BRIBERY,7
MISSION,ROBBERY,163
PARK,DRUG/NARCOTIC,59
TARAVAL,WEAPON LAWS,32
PARK,VEHICLE THEFT,113
SOUTHERN,DISORDERLY CONDUCT,48
MISSION,VEHICLE THEFT,236
TENDERLOIN,"SEX OFFENSES, FORCIBLE",13
MISSION,WEAPON LAWS,81
MISSION,DRUG/NARCOTIC,177
TENDERLOIN,MISSING PERSON,33
CENTRAL,VEHICLE THEFT,126
BAYVIEW,STOLEN PROPERTY,15
NORTHERN,SUSPICIOUS OCC,139
BAYVIEW,TRESPASS,36
INGLESIDE,MISSING PERSON,129
SOUTHERN,TRESPASS,111
MISSION,OTHER OFFENSES,781
CENTRAL,KIDNAPPING,3
SOUTHERN,BRIBERY,1
SOUTHERN,OTHER OFFENSES,748
MISSION,SUICIDE,2
NORTHERN,FRAUD,72
SOUTHERN,SECONDARY CODES,70
PARK,KIDNAPPING,2
INGLESIDE,SECONDARY CODES,58
RICHMOND,RUNAWAY,2
CENTRAL,SECONDARY CODES,38
TENDERLOIN,ASSAULT,265
NORTHERN,"SEX OFFENSES, FORCIBLE",27
RICHMOND,WARRANTS,37
TENDERLOIN,SUSPICIOUS OCC,121
BAYVIEW,FAMILY OFFENSES,2
CENTRAL,STOLEN PROPERTY,36
RICHMOND,FAMILY OFFENSES,1
NORTHERN,BRIBERY,1
BAYVIEW,DRUG/NARCOTIC,52
CENTRAL,LOITERING,1
RICHMOND,NON-CRIMINAL,280
PARK,LIQUOR LAWS,1
TENDERLOIN,DRUG/NARCOTIC,204
SOUTHERN,EMBEZZLEMENT,2
RICHMOND,PROSTITUTION,1
TARAVAL,DRUG/NARCOTIC,25
INGLESIDE,NON-CRIMINAL,290
NORTHERN,EMBEZZLEMENT,3
BAYVIEW,LOITERING,1
PARK,DRUNKENNESS,2
BAYVIEW,GAMBLING,1
RICHMOND,BAD CHECKS,1
SOUTHERN,"SEX OFFENSES, FORCIBLE",34
TARAVAL,ROBBERY,54
MISSION,BURGLARY,174
RICHMOND,VANDALISM,128
