Date,Time,Catogory,number
10/31/2016,20,LARCENY/THEFT,13
11/27/2016,00,ASSAULT,1
10/29/2016,12,NON-CRIMINAL,1
09/28/2016,01,OTHER OFFENSES,2
11/04/2016,00,SUSPICIOUS OCC,1
11/14/2016,11,ASSAULT,2
10/23/2016,12,OTHER OFFENSES,2
12/02/2016,23,OTHER OFFENSES,3
11/10/2016,20,OTHER OFFENSES,4
10/11/2016,14,WARRANTS,2
10/25/2016,11,OTHER OFFENSES,3
10/15/2016,00,NON-CRIMINAL,3
10/11/2016,07,NON-CRIMINAL,2
12/14/2016,11,ASSAULT,3
09/30/2016,17,OTHER OFFENSES,7
11/18/2016,13,SUSPICIOUS OCC,1
10/11/2016,23,WARRANTS,1
11/27/2016,14,VEHICLE THEFT,1
10/17/2016,12,BURGLARY,1
11/13/2016,03,LARCENY/THEFT,1
09/23/2016,14,OTHER OFFENSES,2
10/10/2016,00,STOLEN PROPERTY,2
09/30/2016,21,SECONDARY CODES,1
09/28/2016,08,NON-CRIMINAL,3
10/21/2016,15,LARCENY/THEFT,5
11/17/2016,14,SECONDARY CODES,2
09/14/2016,17,FRAUD,1
11/12/2016,02,SUSPICIOUS OCC,1
11/05/2016,15,SECONDARY CODES,1
12/03/2016,02,ASSAULT,1
11/13/2016,17,ASSAULT,2
10/10/2016,20,VEHICLE THEFT,1
10/10/2016,18,ROBBERY,1
11/16/2016,08,DISORDERLY CONDUCT,1
11/07/2016,17,MISSING PERSON,2
10/27/2016,15,OTHER OFFENSES,4
11/04/2016,03,OTHER OFFENSES,2
10/14/2016,12,OTHER OFFENSES,5
11/17/2016,21,LARCENY/THEFT,8
11/28/2016,22,VANDALISM,1
10/17/2016,18,LARCENY/THEFT,11
11/11/2016,09,MISSING PERSON,2
11/08/2016,17,ASSAULT,1
11/28/2016,22,SUSPICIOUS OCC,1
11/11/2016,20,OTHER OFFENSES,4
11/21/2016,11,LARCENY/THEFT,6
10/27/2016,21,VANDALISM,1
11/02/2016,15,MISSING PERSON,1
11/29/2016,00,FRAUD,1
09/19/2016,14,MISSING PERSON,4
11/09/2016,22,BURGLARY,2
10/28/2016,07,LARCENY/THEFT,1
12/08/2016,22,NON-CRIMINAL,1
10/10/2016,18,LARCENY/THEFT,12
09/15/2016,16,STOLEN PROPERTY,1
11/09/2016,14,SUSPICIOUS OCC,2
09/24/2016,08,VANDALISM,1
10/16/2016,08,DRUG/NARCOTIC,2
11/11/2016,23,MISSING PERSON,1
11/03/2016,10,DRUNKENNESS,1
11/22/2016,22,DRIVING UNDER THE INFLUENCE,1
10/28/2016,13,WEAPON LAWS,1
12/07/2016,06,LARCENY/THEFT,1
11/25/2016,15,FORGERY/COUNTERFEITING,1
11/20/2016,07,SUSPICIOUS OCC,1
11/18/2016,17,LARCENY/THEFT,11
11/11/2016,01,ROBBERY,1
10/24/2016,09,FORGERY/COUNTERFEITING,1
12/04/2016,04,SUICIDE,1
10/13/2016,16,OTHER OFFENSES,3
12/08/2016,02,BURGLARY,1
10/04/2016,08,SUSPICIOUS OCC,1
12/13/2016,22,LARCENY/THEFT,4
09/14/2016,20,ASSAULT,2
09/26/2016,05,OTHER OFFENSES,1
11/10/2016,14,EXTORTION,1
11/18/2016,19,PROSTITUTION,2
11/21/2016,11,WARRANTS,1
09/15/2016,00,BURGLARY,1
09/19/2016,15,SECONDARY CODES,1
09/22/2016,08,LARCENY/THEFT,3
10/31/2016,01,NON-CRIMINAL,1
11/20/2016,21,TRESPASS,1
11/24/2016,00,BURGLARY,1
10/05/2016,10,RECOVERED VEHICLE,1
10/04/2016,09,LARCENY/THEFT,6
11/05/2016,01,ASSAULT,4
10/27/2016,16,LARCENY/THEFT,12
11/30/2016,22,BURGLARY,2
12/02/2016,22,VEHICLE THEFT,1
12/02/2016,08,ROBBERY,1
11/15/2016,03,DRUNKENNESS,1
11/04/2016,06,ROBBERY,1
11/05/2016,09,OTHER OFFENSES,1
11/29/2016,16,ASSAULT,1
10/09/2016,10,ASSAULT,5
11/01/2016,01,WEAPON LAWS,1
11/25/2016,08,WARRANTS,1
09/18/2016,06,ROBBERY,2
09/27/2016,16,PROSTITUTION,1
10/21/2016,18,LARCENY/THEFT,9
12/10/2016,15,OTHER OFFENSES,2
10/20/2016,13,LARCENY/THEFT,4
10/26/2016,22,VANDALISM,1
11/01/2016,20,OTHER OFFENSES,6
12/01/2016,20,LARCENY/THEFT,7
10/07/2016,00,RECOVERED VEHICLE,1
10/14/2016,08,NON-CRIMINAL,1
11/22/2016,10,OTHER OFFENSES,2
11/30/2016,15,FAMILY OFFENSES,1
11/12/2016,13,ASSAULT,3
12/04/2016,08,DRUG/NARCOTIC,3
09/26/2016,10,NON-CRIMINAL,1
09/25/2016,07,OTHER OFFENSES,2
11/02/2016,04,VANDALISM,1
10/16/2016,00,MISSING PERSON,2
10/23/2016,19,LARCENY/THEFT,7
09/23/2016,22,VANDALISM,4
10/14/2016,20,ASSAULT,3
11/16/2016,20,RUNAWAY,1
09/26/2016,13,OTHER OFFENSES,4
10/18/2016,17,EMBEZZLEMENT,1
10/19/2016,00,BAD CHECKS,1
10/25/2016,18,ASSAULT,3
10/14/2016,00,DRUNKENNESS,1
11/17/2016,19,VEHICLE THEFT,4
10/03/2016,11,LARCENY/THEFT,7
10/09/2016,18,OTHER OFFENSES,1
12/10/2016,01,NON-CRIMINAL,1
11/25/2016,07,TRESPASS,1
11/22/2016,20,LARCENY/THEFT,3
12/13/2016,19,ASSAULT,2
09/18/2016,05,NON-CRIMINAL,1
11/13/2016,08,OTHER OFFENSES,1
10/27/2016,14,WARRANTS,2
10/25/2016,08,VEHICLE THEFT,1
09/26/2016,20,ROBBERY,1
10/26/2016,16,FRAUD,2
10/15/2016,07,VANDALISM,1
09/23/2016,15,OTHER OFFENSES,5
09/20/2016,18,OTHER OFFENSES,1
11/23/2016,02,ROBBERY,1
09/25/2016,21,DRUNKENNESS,1
10/17/2016,06,ARSON,1
11/11/2016,09,OTHER OFFENSES,2
09/28/2016,12,LARCENY/THEFT,6
12/02/2016,14,LARCENY/THEFT,3
11/12/2016,20,ROBBERY,2
09/17/2016,18,ROBBERY,1
11/09/2016,05,ROBBERY,1
12/04/2016,17,MISSING PERSON,3
11/14/2016,08,DISORDERLY CONDUCT,2
10/27/2016,09,TRESPASS,1
10/28/2016,21,DRUNKENNESS,1
09/20/2016,19,ASSAULT,2
09/17/2016,21,ASSAULT,5
10/04/2016,10,DRUG/NARCOTIC,1
10/04/2016,14,MISSING PERSON,2
12/04/2016,07,LARCENY/THEFT,1
10/30/2016,15,VANDALISM,1
10/27/2016,09,VEHICLE THEFT,1
11/29/2016,08,LARCENY/THEFT,1
09/22/2016,04,SUSPICIOUS OCC,2
12/06/2016,07,RECOVERED VEHICLE,1
12/08/2016,05,MISSING PERSON,1
12/06/2016,18,ROBBERY,1
12/02/2016,18,VANDALISM,4
12/09/2016,19,VEHICLE THEFT,2
11/07/2016,15,WARRANTS,1
10/01/2016,02,TRESPASS,1
12/08/2016,15,FORGERY/COUNTERFEITING,1
10/27/2016,20,NON-CRIMINAL,2
11/02/2016,19,DRUG/NARCOTIC,1
11/18/2016,16,OTHER OFFENSES,3
09/18/2016,22,VEHICLE THEFT,3
10/24/2016,23,VANDALISM,2
11/09/2016,15,LARCENY/THEFT,7
10/22/2016,23,BURGLARY,1
11/11/2016,13,ASSAULT,2
11/12/2016,21,OTHER OFFENSES,4
09/22/2016,20,PROSTITUTION,4
11/21/2016,14,VANDALISM,1
11/05/2016,14,VANDALISM,1
11/25/2016,16,LARCENY/THEFT,9
11/19/2016,20,VANDALISM,4
11/30/2016,21,VANDALISM,3
09/26/2016,07,NON-CRIMINAL,1
09/26/2016,09,NON-CRIMINAL,2
11/27/2016,22,LARCENY/THEFT,5
12/02/2016,09,ASSAULT,2
11/11/2016,14,WEAPON LAWS,1
10/21/2016,17,WARRANTS,3
10/16/2016,17,WARRANTS,1
10/01/2016,23,SUSPICIOUS OCC,2
12/03/2016,21,NON-CRIMINAL,4
10/12/2016,14,DRUG/NARCOTIC,2
10/29/2016,21,SUSPICIOUS OCC,2
10/12/2016,22,SECONDARY CODES,1
11/08/2016,15,WARRANTS,1
11/17/2016,05,VANDALISM,1
11/29/2016,19,VEHICLE THEFT,3
09/19/2016,22,OTHER OFFENSES,2
09/24/2016,17,MISSING PERSON,1
09/20/2016,18,DRUG/NARCOTIC,3
12/11/2016,18,SUSPICIOUS OCC,3
10/25/2016,03,WARRANTS,1
10/19/2016,15,NON-CRIMINAL,2
11/07/2016,07,MISSING PERSON,2
10/03/2016,07,LARCENY/THEFT,2
09/20/2016,13,SUSPICIOUS OCC,1
11/10/2016,21,LARCENY/THEFT,7
11/21/2016,00,LARCENY/THEFT,2
10/31/2016,16,FORGERY/COUNTERFEITING,1
12/13/2016,21,VANDALISM,1
10/30/2016,11,ASSAULT,2
09/28/2016,13,SECONDARY CODES,1
11/13/2016,15,TRESPASS,1
11/30/2016,20,WEAPON LAWS,2
10/29/2016,16,VEHICLE THEFT,1
10/04/2016,14,WEAPON LAWS,1
11/03/2016,18,SUSPICIOUS OCC,3
11/23/2016,12,NON-CRIMINAL,4
10/31/2016,20,VANDALISM,1
09/18/2016,00,OTHER OFFENSES,3
10/02/2016,17,ASSAULT,2
09/23/2016,07,MISSING PERSON,2
10/23/2016,00,OTHER OFFENSES,7
10/06/2016,16,ROBBERY,1
10/25/2016,04,NON-CRIMINAL,2
11/20/2016,01,SUICIDE,1
10/17/2016,08,TRESPASS,1
10/25/2016,15,WARRANTS,2
10/29/2016,02,LARCENY/THEFT,3
10/29/2016,06,SUSPICIOUS OCC,1
10/13/2016,05,VANDALISM,1
11/01/2016,16,FORGERY/COUNTERFEITING,1
11/03/2016,21,WARRANTS,1
12/11/2016,19,TRESPASS,1
10/21/2016,23,ROBBERY,1
11/26/2016,02,ASSAULT,5
09/27/2016,13,ROBBERY,2
09/17/2016,09,NON-CRIMINAL,3
11/08/2016,14,LARCENY/THEFT,2
09/19/2016,13,ASSAULT,3
10/21/2016,19,BURGLARY,2
10/23/2016,08,NON-CRIMINAL,2
09/14/2016,07,LARCENY/THEFT,2
12/09/2016,01,TRESPASS,1
11/30/2016,20,LARCENY/THEFT,6
12/13/2016,18,LARCENY/THEFT,11
12/02/2016,10,LOITERING,1
12/10/2016,07,TRESPASS,1
11/15/2016,21,NON-CRIMINAL,2
10/31/2016,09,WARRANTS,2
12/10/2016,16,VANDALISM,1
10/23/2016,20,VANDALISM,2
09/29/2016,13,OTHER OFFENSES,3
11/05/2016,23,ASSAULT,2
09/21/2016,20,STOLEN PROPERTY,1
11/07/2016,10,LARCENY/THEFT,9
10/06/2016,15,NON-CRIMINAL,1
09/17/2016,11,ASSAULT,3
11/30/2016,13,MISSING PERSON,2
10/20/2016,01,STOLEN PROPERTY,1
10/06/2016,13,NON-CRIMINAL,4
11/06/2016,05,MISSING PERSON,2
11/22/2016,23,SUSPICIOUS OCC,1
09/29/2016,09,DRUG/NARCOTIC,3
10/08/2016,22,MISSING PERSON,2
10/10/2016,14,SUSPICIOUS OCC,2
10/12/2016,11,MISSING PERSON,3
10/25/2016,08,SUSPICIOUS OCC,1
12/02/2016,11,VEHICLE THEFT,1
11/28/2016,12,WARRANTS,1
12/07/2016,01,FRAUD,1
12/01/2016,00,DRUG/NARCOTIC,1
10/01/2016,18,LARCENY/THEFT,12
09/26/2016,22,WARRANTS,1
11/24/2016,14,SECONDARY CODES,1
12/11/2016,12,TRESPASS,1
10/07/2016,22,OTHER OFFENSES,4
11/22/2016,15,SUSPICIOUS OCC,1
10/13/2016,21,WEAPON LAWS,1
10/11/2016,10,NON-CRIMINAL,4
11/02/2016,11,SUSPICIOUS OCC,1
10/21/2016,18,BURGLARY,4
11/25/2016,13,TRESPASS,1
09/15/2016,05,LARCENY/THEFT,1
11/09/2016,20,MISSING PERSON,1
12/07/2016,14,LARCENY/THEFT,2
09/18/2016,10,ROBBERY,1
10/26/2016,11,STOLEN PROPERTY,1
12/11/2016,02,ASSAULT,4
10/24/2016,15,ASSAULT,2
09/24/2016,08,NON-CRIMINAL,1
10/11/2016,18,OTHER OFFENSES,3
11/14/2016,11,VEHICLE THEFT,1
09/27/2016,18,SECONDARY CODES,2
11/26/2016,15,FRAUD,1
10/26/2016,11,ASSAULT,2
11/11/2016,13,SECONDARY CODES,1
11/09/2016,07,OTHER OFFENSES,3
10/08/2016,21,VANDALISM,2
10/31/2016,18,LARCENY/THEFT,11
11/28/2016,16,MISSING PERSON,2
10/29/2016,19,NON-CRIMINAL,1
12/13/2016,16,BURGLARY,1
10/31/2016,22,ASSAULT,1
10/21/2016,17,VANDALISM,1
12/07/2016,09,SECONDARY CODES,1
12/01/2016,04,BURGLARY,2
10/10/2016,17,NON-CRIMINAL,2
11/19/2016,13,RECOVERED VEHICLE,1
12/10/2016,19,ASSAULT,4
11/08/2016,06,BURGLARY,1
11/01/2016,20,LARCENY/THEFT,9
12/05/2016,21,WARRANTS,1
10/22/2016,19,OTHER OFFENSES,1
11/06/2016,15,NON-CRIMINAL,2
10/28/2016,01,NON-CRIMINAL,2
11/07/2016,11,SUSPICIOUS OCC,2
10/01/2016,10,DRUG/NARCOTIC,1
09/20/2016,22,SUSPICIOUS OCC,2
12/04/2016,15,LARCENY/THEFT,8
10/05/2016,08,WARRANTS,1
12/07/2016,07,ASSAULT,2
11/27/2016,04,LARCENY/THEFT,3
12/11/2016,16,FRAUD,1
11/17/2016,12,VEHICLE THEFT,1
11/21/2016,08,DISORDERLY CONDUCT,1
10/07/2016,21,OTHER OFFENSES,2
11/19/2016,17,OTHER OFFENSES,4
12/01/2016,07,SECONDARY CODES,1
11/18/2016,17,BURGLARY,3
09/24/2016,06,ASSAULT,1
11/15/2016,08,VANDALISM,1
12/04/2016,16,ASSAULT,1
11/01/2016,10,VANDALISM,1
10/26/2016,22,NON-CRIMINAL,2
10/29/2016,02,MISSING PERSON,2
09/19/2016,14,WEAPON LAWS,1
10/22/2016,15,BURGLARY,1
11/25/2016,18,OTHER OFFENSES,6
09/22/2016,09,NON-CRIMINAL,2
11/07/2016,23,ROBBERY,1
10/18/2016,03,VANDALISM,1
12/02/2016,21,DRUG/NARCOTIC,1
12/14/2016,09,LARCENY/THEFT,2
12/01/2016,21,VANDALISM,3
10/10/2016,15,WARRANTS,1
12/06/2016,16,NON-CRIMINAL,4
11/15/2016,20,WARRANTS,1
12/11/2016,13,SUSPICIOUS OCC,2
10/30/2016,10,OTHER OFFENSES,2
09/23/2016,16,VEHICLE THEFT,2
10/28/2016,14,ASSAULT,1
11/30/2016,06,VANDALISM,1
10/11/2016,21,VANDALISM,1
11/17/2016,01,BURGLARY,1
11/28/2016,16,RUNAWAY,1
10/27/2016,00,"SEX OFFENSES, FORCIBLE",1
12/14/2016,07,LARCENY/THEFT,2
10/16/2016,15,WARRANTS,1
10/11/2016,17,LARCENY/THEFT,4
12/12/2016,08,BURGLARY,1
09/21/2016,04,BURGLARY,1
12/11/2016,18,VANDALISM,3
12/07/2016,06,NON-CRIMINAL,2
12/04/2016,13,VANDALISM,2
11/11/2016,12,DRUG/NARCOTIC,3
10/07/2016,01,RECOVERED VEHICLE,1
10/21/2016,08,BURGLARY,1
10/07/2016,19,OTHER OFFENSES,1
11/03/2016,20,NON-CRIMINAL,2
11/02/2016,07,WARRANTS,2
11/14/2016,16,SUSPICIOUS OCC,1
11/10/2016,16,LARCENY/THEFT,3
09/16/2016,10,SUSPICIOUS OCC,2
10/14/2016,23,WARRANTS,1
11/24/2016,11,LARCENY/THEFT,2
11/29/2016,10,LARCENY/THEFT,4
12/01/2016,03,OTHER OFFENSES,4
11/11/2016,00,LARCENY/THEFT,2
11/26/2016,10,BURGLARY,1
11/02/2016,12,VANDALISM,2
10/28/2016,10,DISORDERLY CONDUCT,1
10/18/2016,14,ROBBERY,1
11/15/2016,17,SECONDARY CODES,1
09/16/2016,11,ASSAULT,1
09/22/2016,06,FRAUD,1
12/03/2016,02,ARSON,1
10/15/2016,19,VANDALISM,3
10/27/2016,18,VEHICLE THEFT,1
12/01/2016,15,ASSAULT,1
09/27/2016,04,SUSPICIOUS OCC,1
09/19/2016,12,SECONDARY CODES,1
09/19/2016,18,WEAPON LAWS,2
10/05/2016,10,BURGLARY,1
10/17/2016,11,LARCENY/THEFT,5
10/11/2016,01,BURGLARY,1
10/28/2016,20,WARRANTS,1
11/11/2016,19,OTHER OFFENSES,4
12/08/2016,09,LARCENY/THEFT,2
10/04/2016,02,WARRANTS,1
12/11/2016,11,DRUG/NARCOTIC,1
12/10/2016,03,"SEX OFFENSES, FORCIBLE",1
10/10/2016,20,DRUG/NARCOTIC,1
10/19/2016,12,ROBBERY,1
12/13/2016,00,DRUG/NARCOTIC,1
10/03/2016,16,OTHER OFFENSES,2
11/03/2016,01,VEHICLE THEFT,1
12/04/2016,00,BURGLARY,1
09/21/2016,15,VANDALISM,2
09/23/2016,20,OTHER OFFENSES,2
11/18/2016,00,ASSAULT,4
