Time,Category,number
00,ASSAULT,164
10,SECONDARY CODES,15
19,DRUNKENNESS,5
16,BRIBERY,1
23,NON-CRIMINAL,156
23,WEAPON LAWS,20
17,BRIBERY,1
20,KIDNAPPING,3
03,SUSPICIOUS OCC,23
15,"SEX OFFENSES, FORCIBLE",14
17,RECOVERED VEHICLE,9
07,TRESPASS,48
15,STOLEN PROPERTY,21
18,EMBEZZLEMENT,1
16,RUNAWAY,2
22,BURGLARY,83
00,FORGERY/COUNTERFEITING,25
07,RECOVERED VEHICLE,5
15,DRIVING UNDER THE INFLUENCE,2
14,OTHER OFFENSES,224
16,KIDNAPPING,4
00,"SEX OFFENSES, FORCIBLE",19
23,VEHICLE THEFT,108
12,MISSING PERSON,76
18,DRUG/NARCOTIC,69
08,SECONDARY CODES,16
05,DISORDERLY CONDUCT,16
16,RECOVERED VEHICLE,10
06,WEAPON LAWS,3
17,DRUNKENNESS,3
15,GAMBLING,1
09,DRUNKENNESS,1
03,WARRANTS,29
19,DRIVING UNDER THE INFLUENCE,2
02,TRESPASS,9
22,ARSON,1
21,FAMILY OFFENSES,2
05,"SEX OFFENSES, FORCIBLE",1
07,BURGLARY,48
03,DRUG/NARCOTIC,20
12,BAD CHECKS,2
14,LARCENY/THEFT,529
00,NON-CRIMINAL,166
00,"SEX OFFENSES, NON FORCIBLE",2
08,OTHER OFFENSES,189
00,PROSTITUTION,10
12,PROSTITUTION,37
17,LIQUOR LAWS,2
15,LIQUOR LAWS,1
08,WARRANTS,44
21,SECONDARY CODES,18
05,MISSING PERSON,16
20,"SEX OFFENSES, NON FORCIBLE",1
21,FORGERY/COUNTERFEITING,4
09,ARSON,2
16,TRESPASS,17
11,RUNAWAY,1
04,DRUG/NARCOTIC,10
20,SUSPICIOUS OCC,71
04,VEHICLE THEFT,14
06,OTHER OFFENSES,68
16,FORGERY/COUNTERFEITING,9
02,DRIVING UNDER THE INFLUENCE,5
17,MISSING PERSON,54
10,DRUG/NARCOTIC,38
16,WEAPON LAWS,19
21,NON-CRIMINAL,166
09,BURGLARY,48
13,BURGLARY,58
09,MISSING PERSON,56
16,FAMILY OFFENSES,2
17,BURGLARY,88
04,ASSAULT,63
23,KIDNAPPING,4
01,WARRANTS,29
14,SECONDARY CODES,26
06,TRESPASS,33
